player,pos,team,games,pass_att,pass_comp,pass_yds,pass_yds_g,pass_tds,pass_int,pass_rate,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,pass_09_tds,pass_1019_tds,pass_2029_tds,pass_3039_tds,pass_4049_tds,pass_50_tds,sacks,scoring_opp,bye,draft_rank,pass_comp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,two_pts
Andy Dalton,QB,NO,NA,29.7,19.2,213.5,NA,1.3,0.8,NA,2.3,8,NA,0,0.1,13.7,NA,9907,FantasyPros,10313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Tannehill,QB,TEN,NA,28.1,18.1,205.3,NA,1.1,0.9,NA,3,11.1,NA,0.2,0.1,13.7,NA,11174,FantasyPros,10697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Ryan,QB,IND,NA,35.5,23.4,235.3,NA,1,0.9,NA,2.2,6.5,NA,0.1,0.3,13,NA,9444,FantasyPros,9099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacoby Brissett,QB,CLE,NA,1.4,0.9,120.9,NA,0.7,0.4,NA,0.3,12.3,NA,0.1,0,8.9,NA,15642,FantasyPros,12616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Allen,QB,HOU,NA,29.6,18.6,139.3,NA,0.9,0.7,NA,1.8,5.2,NA,0,0.2,8.9,NA,17869,FantasyPros,13879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davis Mills,QB,HOU,NA,3.1,1.9,126.6,NA,0.7,0.4,NA,0.2,4,NA,0,0,8.1,NA,22799,FantasyPros,15252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trevor Siemian,QB,CHI,NA,1,0.6,97.9,NA,0.7,0.4,NA,0.2,6,NA,0.1,0,7,NA,14142,FantasyPros,12381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Love,QB,GB,NA,9.7,6.7,45.2,NA,0.3,0.1,NA,0.3,0.5,NA,0,0,3,NA,19246,FantasyPros,14782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bryce Perkins,QB,LAR,NA,5.3,3.2,35.8,NA,0.2,0.2,NA,0.4,1.6,NA,0,0,2.2,NA,19415,FantasyPros,14792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easton Stick,QB,LAC,NA,0,0,21.2,NA,0.1,0.1,NA,0,0.1,NA,0,0,1.2,NA,18446,FantasyPros,14069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Wolford,QB,LAR,NA,0,0,20.6,NA,0.1,0.1,NA,0,0.1,NA,0,0,1.2,NA,18185,FantasyPros,15035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jameis Winston,QB,NO,NA,3.2,2,19.9,NA,0.1,0.1,NA,0.3,0.5,NA,0,0,1.1,NA,13891,FantasyPros,12140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bailey Zappe,QB,NE,NA,1.2,0.8,20.4,NA,0.1,0.2,NA,0.3,0.1,NA,0,0.1,1.1,NA,24027,FantasyPros,15696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joe Flacco,QB,NYJ,NA,1.4,0.9,18.7,NA,0.1,0.1,NA,0.2,0.6,NA,0,0.1,1,NA,9300,FantasyPros,9064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carson Wentz,QB,WAS,NA,1.3,0.8,14.2,NA,0.1,0,NA,0.3,0.7,NA,0,0,1,NA,15520,FantasyPros,12610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zach Wilson,QB,NYJ,NA,1.4,0.9,11.1,NA,0.1,0,NA,0.2,1.3,NA,0,0,1,NA,22679,FantasyPros,15239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase Daniel,QB,LAC,NA,1.7,1.1,11.4,NA,0.1,0,NA,0.2,0.9,NA,0,0,0.9,NA,9111,FantasyPros,9706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Allen,QB,CIN,NA,1.5,1,11.3,NA,0.1,0,NA,0.2,0.8,NA,0,0,0.9,NA,15745,FantasyPros,12621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad Henne,QB,KC,NA,1.6,1,12.6,NA,0.1,0,NA,0.2,0.2,NA,0,0,0.9,NA,9101,FantasyPros,9073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drew Lock,QB,SEA,NA,1.3,0.9,9.8,NA,0.1,0,NA,0.2,1.1,NA,0,0,0.9,NA,18225,FantasyPros,14057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shane Buechele,QB,KC,NA,0,0,16.2,NA,0.1,0.1,NA,0,0.5,NA,0,0,0.9,NA,19376,FantasyPros,15248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jarrett Stidham,QB,LV,NA,1.5,1,10.6,NA,0.1,0,NA,0.2,0.6,NA,0,0,0.9,NA,18604,FantasyPros,14063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyrod Taylor,QB,NYG,NA,1.2,0.8,8.4,NA,0.1,0,NA,0.3,1.3,NA,0,0,0.9,NA,10007,FantasyPros,10413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mitch Trubisky,QB,PIT,NA,1.6,1.1,10,NA,0.1,0,NA,0.2,0.5,NA,0,0,0.8,NA,16381,FantasyPros,13115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nate Sudfeld,QB,DET,NA,1.4,0.8,10.7,NA,0.1,0,NA,0.2,0.6,NA,0,0,0.8,NA,15833,FantasyPros,12815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cooper Rush,QB,DAL,NA,1.3,0.8,12.7,NA,0.1,0,NA,0.3,0.3,NA,0,0,0.8,NA,16477,FantasyPros,13124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blaine Gabbert,QB,TB,NA,0,0,15.1,NA,0.1,0.1,NA,0,0.1,NA,0,0,0.8,NA,9858,FantasyPros,10262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C.J. Beathard,QB,JAC,NA,1.4,0.9,10.6,NA,0.1,0,NA,0.2,0.6,NA,0,0,0.8,NA,16419,FantasyPros,13125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Huntley,QB,BAL,NA,1.2,0.8,7.7,NA,0.1,0.1,NA,0.3,1.7,NA,0,0,0.8,NA,19297,FantasyPros,14789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gardner Minshew II,QB,PHI,NA,1.2,0.7,9.1,NA,0.1,0,NA,0.3,0.7,NA,0,0,0.8,NA,18562,FantasyPros,14067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Case Keenum,QB,BUF,NA,1.5,0.8,10.1,NA,0.1,0.1,NA,0.1,0.5,NA,0,0,0.8,NA,11425,FantasyPros,10948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Mullens,QB,MIN,NA,1.4,0.9,9.9,NA,0.1,0,NA,0.2,0.5,NA,0,0.1,0.6,NA,16726,FantasyPros,13968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brock Purdy,QB,SF,NA,1.2,0.8,11.7,NA,0,0,NA,0.3,0.4,NA,0,0,0.6,NA,19797,FantasyPros,15698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sam Ehlinger,QB,IND,NA,1.3,0.8,10.2,NA,0,0.1,NA,0.3,0.7,NA,0,0,0.6,NA,19803,FantasyPros,15250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malik Willis,QB,TEN,NA,1,0.6,10.4,NA,0,0.1,NA,0.3,0.9,NA,0,0,0.5,NA,23499,FantasyPros,15694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmond Ridder,QB,ATL,NA,0.7,0.4,9.3,NA,0,0.1,NA,0.1,0.2,NA,0,0,0.5,NA,20080,FantasyPros,15697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teddy Bridgewater,QB,MIA,NA,1.4,0.9,10.4,NA,0,0,NA,0.2,0.8,NA,0,0,0.5,NA,12088,FantasyPros,11640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brett Rypien,QB,DEN,NA,1.3,0.8,9.8,NA,0,0,NA,0.3,1,NA,0,0,0.5,NA,18323,FantasyPros,14065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Trask,QB,TB,NA,1.3,0.7,7.2,NA,0,0,NA,0.1,0.1,NA,0,0,0.3,NA,19800,FantasyPros,15242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Feleipe Franks,QB,ATL,NA,0,0,0,NA,0,0,NA,0.2,0.6,NA,0,0,0.1,NA,20081,FantasyPros,15244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allen, Josh",QB,BUF,NA,33.4,21.3,246,NA,1.9,1,NA,9.3,56,NA,0.4,0.2,26,NA,NA,FantasySharks,13589,@NEP,0.8,0.6,0.3,0.1,0,0.2,2.1,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mahomes, Patrick",QB,KCC,NA,35.8,23.6,281,NA,2.2,0.9,NA,4.8,29,NA,0.1,0.1,25.5,NA,NA,FantasySharks,13116,@CIN,1.3,0.4,0.1,0.2,0.2,0,1.8,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hurts, Jalen",QB,PHI,NA,28.3,18.2,217,NA,1.4,0.4,NA,10.8,55,NA,0.7,0.2,25.2,NA,NA,FantasySharks,14783,TEN,0.5,0.3,0.3,0.2,0,0.1,2.4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burrow, Joe",QB,CIN,NA,33.2,22.4,280,NA,1.9,0.8,NA,3.8,13,NA,0.2,0.1,23.6,NA,NA,FantasySharks,14777,KCC,0.6,0.4,0.2,0.1,0.2,0.4,3.2,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Herbert, Justin",QB,LAC,NA,39.3,26.5,272,NA,1.9,0.7,NA,3.6,15,NA,0.1,0.1,22.6,NA,NA,FantasySharks,14779,@LVR,0.8,0.6,0.1,0.1,0.1,0.1,2,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jackson, Lamar",QB,BAL,NA,26.9,17.2,197,NA,1.2,0.9,NA,12.7,76,NA,0.2,0.3,22.1,NA,NA,FantasySharks,13593,DEN,0.5,0.4,0.1,0,0.1,0.1,2.9,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lawrence, Trevor",QB,JAC,NA,41,26.3,270,NA,1.4,0.6,NA,3.2,16,NA,0.3,0.4,21.1,NA,NA,FantasySharks,15237,@DET,0.7,0.3,0.3,0,0,0,1.7,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smith, Geno",QB,SEA,NA,30,20.3,246,NA,1.6,0.5,NA,4.4,21,NA,0.1,0.3,20.2,NA,NA,FantasySharks,11150,@LAR,0.4,0.4,0.3,0.3,0.1,0.1,2.8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fields, Justin",QB,CHI,NA,22,13.3,156,NA,1,0.9,NA,10.8,65,NA,0.5,0.2,20.1,NA,NA,FantasySharks,15238,GBP,0.3,0.4,0.1,0,0.1,0.1,3.6,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tagovailoa, Tua",QB,MIA,NA,31.8,21.5,250,NA,1.6,0.6,NA,2.8,8,NA,0.1,0.1,19.8,NA,NA,FantasySharks,14778,@SFO,0.9,0.5,0.1,0,0.1,0.1,1.7,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prescott, Dak",QB,DAL,NA,31.7,21.2,236,NA,1.7,0.9,NA,3.2,11,NA,0.1,0.2,19.3,NA,NA,FantasySharks,12620,IND,0.9,0.2,0.2,0.2,0,0.1,1.6,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brady, Tom",QB,TBB,NA,41.7,27.7,276,NA,1.4,0.3,NA,1.6,0,NA,0,0.2,19.2,NA,NA,FantasySharks,5848,NOS,0.9,0.3,0.1,0.1,0,0,1.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carr, Derek",QB,LVR,NA,35,22.7,258,NA,1.5,0.7,NA,1.8,6,NA,0,0.1,18.8,NA,NA,FantasySharks,11644,LAC,0.5,0.3,0.2,0.3,0.1,0.1,2.1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cousins, Kirk",QB,MIN,NA,33.3,21.9,234,NA,1.6,0.7,NA,2.3,7,NA,0.1,0.2,18.8,NA,NA,FantasySharks,10700,NYJ,0.9,0.3,0.2,0,0.1,0.1,2.6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Watson, Deshaun",QB,CLE,NA,25,16.9,233,NA,1.2,1.2,NA,4,22,NA,0.2,0.4,18.7,NA,NA,FantasySharks,13113,@HOU,0.5,0.4,0.2,0.1,0,0,3,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rodgers, Aaron",QB,GBP,NA,30.5,20.2,220,NA,1.8,0.6,NA,1.6,5,NA,0.1,0.2,18.6,NA,NA,FantasySharks,7836,@CHI,0.8,0.4,0.4,0.1,0,0.1,2.2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Goff, Jared",QB,DET,NA,36.6,23.8,256,NA,1.5,0.5,NA,1.5,4,NA,0,0.3,18.4,NA,NA,FantasySharks,12611,JAC,1,0.1,0.2,0.1,0,0,1.6,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"White, Mike",QB,NYJ,NA,35.7,21.3,248,NA,1.3,0.8,NA,2.3,9,NA,0.1,0.2,17.9,NA,NA,FantasySharks,13598,@MIN,0.7,0.1,0.2,0,0,0.2,2.1,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jones, Daniel",QB,NYG,NA,28.4,17.9,190,NA,0.8,0.5,NA,6.5,36,NA,0.3,0.2,17.3,NA,NA,FantasySharks,14059,WAS,0.5,0.1,0,0.2,0,0.1,3,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garoppolo, Jimmy",QB,SFO,NA,28.7,19.2,227,NA,1.4,0.6,NA,2.2,4,NA,0.1,0.2,17.3,NA,NA,FantasySharks,11760,MIA,0.7,0.4,0,0.2,0.1,0.1,1.9,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalton, Andy",QB,NOS,NA,28.2,18.2,208,NA,1.3,0.8,NA,2.9,9,NA,0,0.1,16,NA,NA,FantasySharks,10313,@TBB,0.5,0.5,0,0.1,0.1,0.2,1.9,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pickett, Kenny",QB,PIT,NA,35.5,23,213,NA,0.6,0.8,NA,3.5,19,NA,0.3,0.1,15.9,NA,NA,FantasySharks,15692,@ATL,0.4,0.1,0.1,0,0,0,2.6,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jones, Mac",QB,NEP,NA,30.3,20.4,225,NA,1.1,0.7,NA,2.8,8,NA,0.1,0.2,15.9,NA,NA,FantasySharks,15241,BUF,0.5,0.1,0.2,0.2,0.1,0,2.4,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heinicke, Taylor",QB,WAS,NA,30.6,19.2,207,NA,1.2,0.9,NA,3.5,14,NA,0.1,0.2,15.9,NA,NA,FantasySharks,12476,@NYG,0.4,0.4,0.1,0.2,0.1,0.1,2.3,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tannehill, Ryan",QB,TEN,NA,26,17,200,NA,0.9,0.7,NA,3.7,14,NA,0.2,0.2,15.4,NA,NA,FantasySharks,10697,@PHI,0.4,0.4,0.1,0,0,0.1,2.6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mariota, Marcus",QB,ATL,NA,20.7,12.9,151,NA,1,0.6,NA,5.3,27,NA,0.2,0.2,15.1,NA,NA,FantasySharks,12141,PIT,0.5,0.2,0.2,0,0.1,0.1,1.9,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wolford, John",QB,LAR,NA,27.4,18.1,192,NA,1.2,1.1,NA,2.4,6,NA,0.1,0.3,13.9,NA,NA,FantasySharks,15035,SEA,0.7,0.3,0,0,0,0.2,2.9,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wilson, Russell",QB,DEN,NA,28,18,200,NA,0.8,0.5,NA,3.3,12,NA,0.1,0.1,13.9,NA,NA,FantasySharks,10703,@BAL,0.3,0.1,0.2,0.1,0,0.1,3.2,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ryan, Matt",QB,IND,NA,31.6,21.3,210,NA,0.8,0.9,NA,3,11,NA,0.1,0.4,13.9,NA,NA,FantasySharks,9099,@DAL,0.4,0.3,0,0.1,0,0,3.5,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allen, Kyle",QB,HOU,NA,29.4,18.6,186,NA,0.9,1.2,NA,2.1,7,NA,0.1,0.1,13,NA,NA,FantasySharks,13879,CLE,0.3,0.3,0.2,0,0.1,0,3.1,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Perkins, Bryce",QB,LAR,NA,27,18,190,NA,0.9,1,NA,2.5,6,NA,0,0,12.7,NA,NA,FantasySharks,14792,SEA,0.5,0.2,0,0,0,0.2,3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wilson, Zach",QB,NYJ,NA,25.6,14.7,170,NA,0.8,0.8,NA,1.9,8,NA,0.1,0.2,12,NA,NA,FantasySharks,15239,@MIN,0.5,0.1,0.1,0,0,0.1,3,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siemian, Trevor",QB,CHI,NA,20,12,188,NA,0.6,2,NA,2,8,NA,0,0.1,10.7,NA,NA,FantasySharks,12381,GBP,0.3,0.2,0.1,0,0,0,4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peterman, Nathan",QB,CHI,NA,20,12,180,NA,0.5,2,NA,2,8,NA,0,0,10,NA,NA,FantasySharks,13127,GBP,0.2,0.2,0.1,0,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zappe, Bailey",QB,NEP,NA,10.8,7.3,95,NA,0.5,0.6,NA,1.5,-0.2,NA,0,0.4,5.5,NA,NA,FantasySharks,15696,BUF,0,0,0.2,0.3,0,0,0.6,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Winston, Jameis",QB,NOS,NA,7.5,4.6,55,NA,0.4,0.2,NA,1.4,8,NA,0,0,5,NA,NA,FantasySharks,12140,@TBB,0.1,0.2,0,0,0,0,0.6,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mills, Davis",QB,HOU,NA,10.1,6.2,66,NA,0.4,0.3,NA,0.6,2,NA,0,0,4.9,NA,NA,FantasySharks,15252,CLE,0.1,0.1,0.1,0,0,0,0.9,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trubisky, Mitchell",QB,PIT,NA,7.3,4.7,58,NA,0.3,0.2,NA,1.6,3,NA,0,0,4.3,NA,NA,FantasySharks,13115,@ATL,0.3,0,0,0,0,0,0.7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huntley, Tyler",QB,BAL,NA,7.4,4.5,42,NA,0.1,0,NA,2.4,12,NA,0,0.3,3.3,NA,NA,FantasySharks,14789,DEN,0.1,0,0,0,0,0,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Love, Jordan",QB,GBP,NA,4.2,2.7,38,NA,0.2,0.1,NA,0.6,0,NA,0,0,2.8,NA,NA,FantasySharks,14782,@CHI,0,0,0,0,0,0.2,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rudolph, Mason",QB,PIT,NA,6.4,3.7,32,NA,0.2,0.3,NA,0.7,4,NA,0,0,2.5,NA,NA,FantasySharks,13595,@ATL,0.2,0,0,0,0,0,1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stidham, Jarrett",QB,LVR,NA,4.3,2.5,24,NA,0,0,NA,0.4,2,NA,0,0,1.4,NA,NA,FantasySharks,14063,LAC,0,0,0,0,0,0,0.4,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rush, Cooper",QB,DAL,NA,3.4,2.3,23,NA,0.1,0,NA,1,-1.3,NA,0,0,1.3,NA,NA,FantasySharks,13124,IND,0.1,0,0,0,0,0,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
